,carat,depth,table,clarity,cut
0,0.73,64.6,60.0,4.0,Fair
1,0.73,66.9,54.0,0.0,Fair
2,0.5,66.5,58.0,4.0,Fair
3,0.7,64.5,57.0,4.0,Fair
4,1.01,65.3,59.0,2.0,Fair
5,0.7,64.9,59.0,0.0,Fair
6,0.7,64.3,62.0,0.0,Fair
7,1.0,64.8,59.0,2.0,Fair
8,0.58,65.8,56.0,0.0,Fair
9,0.9,64.6,58.0,4.0,Fair
10,1.01,64.5,59.0,4.0,Fair
11,0.7,67.6,54.0,6.0,Fair
12,1.03,65.3,59.0,3.0,Fair
13,1.01,66.8,61.0,4.0,Fair
14,1.19,64.9,58.0,2.0,Fair
15,2.0,65.7,60.0,2.0,Fair
16,3.02,65.2,56.0,0.0,Fair
17,0.7,70.8,56.0,0.0,Fair
18,0.96,67.3,56.0,2.0,Fair
19,1.5,65.8,57.0,3.0,Fair
20,1.0,66.1,59.0,3.0,Fair
21,0.3,66.6,54.0,7.0,Fair
22,0.73,64.7,56.0,3.0,Fair
23,1.01,64.7,54.0,4.0,Fair
24,0.7,64.5,60.0,3.0,Fair
25,1.5,64.7,55.0,3.0,Fair
26,0.51,65.5,51.0,5.0,Fair
27,2.0,69.8,54.0,0.0,Fair
28,1.0,67.6,57.0,5.0,Fair
29,1.52,65.4,62.0,0.0,Fair
30,1.58,64.7,58.0,2.0,Fair
31,0.7,66.0,53.0,2.0,Fair
32,0.98,68.0,63.0,0.0,Fair
33,1.0,64.8,62.0,5.0,Fair
34,1.5,69.6,62.0,3.0,Fair
35,0.5,66.9,57.0,5.0,Fair
36,1.02,65.3,59.0,3.0,Fair
37,1.5,64.3,58.0,2.0,Fair
38,2.0,65.9,60.0,2.0,Fair
39,1.01,65.3,57.0,2.0,Fair
40,1.21,64.5,56.0,5.0,Fair
41,2.0,65.2,56.0,5.0,Fair
42,3.11,65.9,57.0,0.0,Fair
43,1.01,68.5,63.0,3.0,Fair
44,0.85,66.7,59.0,0.0,Fair
45,0.9,64.4,53.0,5.0,Fair
46,0.9,65.5,59.0,2.0,Fair
47,1.0,68.9,56.0,2.0,Fair
48,0.98,66.6,56.0,3.0,Fair
49,2.03,64.9,59.0,3.0,Fair
50,0.71,65.4,59.0,4.0,Fair
51,1.01,64.4,59.0,2.0,Fair
52,1.0,64.9,59.0,2.0,Fair
53,1.01,65.1,57.0,2.0,Fair
54,0.29,64.7,62.0,5.0,Fair
55,1.01,65.5,62.0,5.0,Fair
56,1.08,65.1,54.0,5.0,Fair
57,0.7,66.5,62.0,0.0,Fair
58,1.0,64.9,58.0,2.0,Fair
59,0.7,66.5,55.0,2.0,Fair
60,1.59,65.2,58.0,3.0,Fair
61,2.31,67.4,56.0,0.0,Fair
62,0.51,65.2,55.0,2.0,Fair
63,0.5,65.2,57.0,3.0,Fair
64,1.01,65.5,57.0,2.0,Fair
65,1.05,64.8,55.0,3.0,Fair
66,2.0,69.1,56.0,3.0,Fair
67,1.35,66.0,58.0,3.0,Fair
68,1.52,65.4,58.0,4.0,Fair
69,1.0,67.8,53.0,3.0,Fair
70,0.7,65.9,59.0,2.0,Fair
71,0.5,66.3,55.0,5.0,Fair
72,0.73,64.4,59.0,7.0,Fair
73,0.7,65.2,59.0,5.0,Fair
74,1.03,65.5,58.0,2.0,Fair
75,2.22,70.1,55.0,0.0,Fair
76,0.8,67.1,56.0,3.0,Fair
77,0.74,65.4,53.0,7.0,Fair
78,2.0,65.1,57.0,3.0,Fair
79,0.81,65.7,57.0,3.0,Fair
80,0.96,69.7,59.0,2.0,Fair
81,1.01,64.4,58.0,5.0,Fair
82,1.51,65.3,62.0,2.0,Fair
83,0.9,64.7,59.0,3.0,Fair
84,1.21,65.0,59.0,2.0,Fair
85,0.7,67.3,59.0,0.0,Fair
86,1.22,64.7,61.0,3.0,Fair
87,1.01,66.0,57.0,2.0,Fair
88,0.63,65.7,60.0,5.0,Fair
89,2.01,65.9,57.0,3.0,Fair
90,1.5,71.3,58.0,0.0,Fair
91,1.0,69.0,56.0,3.0,Fair
92,0.7,66.4,56.0,3.0,Fair
93,1.45,64.4,58.0,3.0,Fair
94,1.52,64.7,58.0,3.0,Fair
95,1.0,64.9,56.0,5.0,Fair
96,2.0,66.3,54.0,4.0,Fair
97,1.5,65.5,53.0,3.0,Fair
98,0.7,64.4,58.0,3.0,Fair
99,1.0,65.1,55.0,3.0,Fair
100,0.71,64.4,56.0,5.0,Fair
101,0.59,64.4,59.0,4.0,Fair
102,1.12,64.6,57.0,3.0,Fair
103,0.7,65.0,56.0,2.0,Fair
104,3.65,67.1,53.0,0.0,Fair
105,2.01,65.9,57.0,3.0,Fair
106,1.41,64.7,58.0,0.0,Fair
107,0.5,64.9,57.0,4.0,Fair
108,1.0,64.6,59.0,4.0,Fair
109,0.99,68.1,56.0,3.0,Fair
110,0.7,64.9,57.0,5.0,Fair
111,1.01,66.0,56.0,7.0,Fair
112,1.51,65.7,61.0,0.0,Fair
113,0.7,67.5,55.0,0.0,Fair
114,1.9,67.1,64.0,3.0,Fair
115,0.71,64.8,63.0,3.0,Fair
116,1.0,65.4,57.0,0.0,Fair
117,0.51,65.4,60.0,7.0,Fair
118,0.7,65.3,54.0,2.0,Fair
119,1.2,65.2,58.0,2.0,Fair
120,0.96,64.3,59.0,0.0,Fair
121,1.64,64.5,60.0,0.0,Fair
