,date,mdeaths,fdeaths
0,Jan 1974,2134,901
1,Feb 1974,1863,689
2,Mar 1974,1877,827
3,Apr 1974,1877,677
4,May 1974,1492,522
5,Jun 1974,1249,406
6,Jul 1974,1280,441
7,Aug 1974,1131,393
8,Sep 1974,1209,387
9,Oct 1974,1492,582
10,Nov 1974,1621,578
11,Dec 1974,1846,666
12,Jan 1975,2103,830
13,Feb 1975,2137,752
14,Mar 1975,2153,785
15,Apr 1975,1833,664
16,May 1975,1403,467
17,Jun 1975,1288,438
18,Jul 1975,1186,421
19,Aug 1975,1133,412
20,Sep 1975,1053,343
21,Oct 1975,1347,440
22,Nov 1975,1545,531
23,Dec 1975,2066,771
24,Jan 1976,2020,767
25,Feb 1976,2750,1141
26,Mar 1976,2283,896
27,Apr 1976,1479,532
28,May 1976,1189,447
29,Jun 1976,1160,420
30,Jul 1976,1113,376
31,Aug 1976,970,330
32,Sep 1976,999,357
33,Oct 1976,1208,445
34,Nov 1976,1467,546
35,Dec 1976,2059,764
36,Jan 1977,2240,862
37,Feb 1977,1634,660
38,Mar 1977,1722,663
39,Apr 1977,1801,643
40,May 1977,1246,502
41,Jun 1977,1162,392
42,Jul 1977,1087,411
43,Aug 1977,1013,348
44,Sep 1977,959,387
45,Oct 1977,1179,385
46,Nov 1977,1229,411
47,Dec 1977,1655,638
48,Jan 1978,2019,796
49,Feb 1978,2284,853
50,Mar 1978,1942,737
51,Apr 1978,1423,546
52,May 1978,1340,530
53,Jun 1978,1187,446
54,Jul 1978,1098,431
55,Aug 1978,1004,362
56,Sep 1978,970,387
57,Oct 1978,1140,430
58,Nov 1978,1110,425
59,Dec 1978,1812,679
60,Jan 1979,2263,821
61,Feb 1979,1820,785
62,Mar 1979,1846,727
63,Apr 1979,1531,612
64,May 1979,1215,478
65,Jun 1979,1075,429
66,Jul 1979,1056,405
67,Aug 1979,975,379
68,Sep 1979,940,393
69,Oct 1979,1081,411
70,Nov 1979,1294,487
71,Dec 1979,1341,574
