,purchase_time,purchase_date,quantity
0,2017-05-16 13:10:30,2017-05-16 00:00:00,5
1,2017-05-16 19:41:10,2017-05-16 00:00:00,3
2,2017-05-19 18:53:40,2017-05-19 00:00:00,2
3,2017-05-18 13:55:47,2017-05-18 00:00:00,1
4,2017-05-14 20:28:25,2017-05-14 00:00:00,3
5,2017-06-13 21:11:26,2017-06-13 00:00:00,13
6,2017-05-09 20:48:59,2017-05-09 00:00:00,13
7,2017-05-17 08:36:11,2017-05-17 00:00:00,7
8,2017-05-15 16:29:03,2017-05-15 00:00:00,3
9,2017-05-09 11:48:37,2017-05-09 00:00:00,9
10,2017-05-18 20:59:24,2017-05-18 00:00:00,14
11,2017-06-05 13:24:46,2017-06-05 00:00:00,11
12,2017-06-04 10:05:59,2017-06-04 00:00:00,6
13,2017-05-23 15:28:58,2017-05-23 00:00:00,6
14,2017-05-20 02:48:00,2017-05-20 00:00:00,13
15,2017-05-26 18:35:51,2017-05-26 00:00:00,3
16,2017-05-08 12:22:44,2017-05-08 00:00:00,2
17,2017-05-29 12:35:44,2017-05-29 00:00:00,11
18,2017-05-19 18:13:54,2017-05-19 00:00:00,5
19,2017-06-02 14:00:19,2017-06-02 00:00:00,12
20,2017-05-10 14:03:27,2017-05-10 00:00:00,12
21,2017-05-11 09:13:17,2017-05-11 00:00:00,1
22,2017-06-08 21:18:45,2017-06-08 00:00:00,2
23,2017-06-13 11:13:38,2017-06-13 00:00:00,14
24,2017-05-21 21:10:35,2017-05-21 00:00:00,13
25,2017-05-03 14:31:43,2017-05-03 00:00:00,3
26,2017-05-08 14:59:40,2017-05-08 00:00:00,1
27,2017-05-08 16:31:38,2017-05-08 00:00:00,2
28,2017-05-19 14:12:50,2017-05-19 00:00:00,4
29,2017-05-11 21:36:10,2017-05-11 00:00:00,7
30,2017-05-31 20:57:49,2017-05-31 00:00:00,6
31,2017-05-02 16:35:06,2017-05-02 00:00:00,6
32,2017-05-14 09:36:36,2017-05-14 00:00:00,6
33,2017-05-06 11:20:18,2017-05-06 00:00:00,6
34,2017-05-23 20:19:03,2017-05-23 00:00:00,5
35,2017-05-07 13:53:39,2017-05-07 00:00:00,11
36,2017-06-05 08:45:30,2017-06-05 00:00:00,3
37,2017-05-25 13:50:11,2017-05-25 00:00:00,3
38,2017-05-06 12:28:42,2017-05-06 00:00:00,1
39,2017-06-05 11:44:22,2017-06-05 00:00:00,4
40,2017-06-10 18:02:25,2017-06-10 00:00:00,12
41,2017-05-16 21:30:59,2017-05-16 00:00:00,1
42,2017-05-14 14:56:41,2017-05-14 00:00:00,5
43,2017-05-05 13:48:37,2017-05-05 00:00:00,13
44,2017-06-06 00:11:09,2017-06-06 00:00:00,12
45,2017-05-12 10:51:43,2017-05-12 00:00:00,9
46,2017-05-18 09:34:58,2017-05-18 00:00:00,5
47,2017-06-15 16:02:23,2017-06-15 00:00:00,5
48,2017-05-14 19:00:05,2017-05-14 00:00:00,11
49,2017-05-05 13:35:44,2017-05-05 00:00:00,9
50,2017-06-02 10:18:35,2017-06-02 00:00:00,13
51,2017-05-22 15:57:42,2017-05-22 00:00:00,10
52,2017-05-22 10:27:43,2017-05-22 00:00:00,7
53,2017-05-05 08:45:28,2017-05-05 00:00:00,10
54,2017-05-02 22:36:47,2017-05-02 00:00:00,12
55,2017-05-31 11:02:39,2017-05-31 00:00:00,5
56,2017-05-24 10:11:27,2017-05-24 00:00:00,10
57,2017-05-17 23:39:36,2017-05-17 00:00:00,1
58,2017-05-27 03:23:02,2017-05-27 00:00:00,3
59,2017-05-20 12:41:12,2017-05-20 00:00:00,5
60,2017-06-06 11:40:14,2017-06-06 00:00:00,8
61,2017-06-11 16:02:43,2017-06-11 00:00:00,1
62,2017-05-29 10:01:22,2017-05-29 00:00:00,8
63,2017-06-14 19:49:48,2017-06-14 00:00:00,5
64,2017-05-05 22:10:14,2017-05-05 00:00:00,11
65,2017-05-01 15:01:03,2017-05-01 00:00:00,2
66,2017-05-24 13:48:28,2017-05-24 00:00:00,14
67,2017-05-13 17:42:39,2017-05-13 00:00:00,2
68,2017-05-02 21:03:22,2017-05-02 00:00:00,8
69,2017-06-07 21:13:15,2017-06-07 00:00:00,9
70,2017-06-06 18:10:19,2017-06-06 00:00:00,14
71,2017-06-13 23:49:22,2017-06-13 00:00:00,9
72,2017-05-19 20:13:23,2017-05-19 00:00:00,9
73,2017-05-01 19:13:37,2017-05-01 00:00:00,1
74,2017-05-15 21:07:48,2017-05-15 00:00:00,3
75,2017-05-09 13:06:19,2017-05-09 00:00:00,2
76,2017-05-09 17:42:45,2017-05-09 00:00:00,3
77,2017-05-21 22:53:02,2017-05-21 00:00:00,14
78,2017-06-12 23:00:43,2017-06-12 00:00:00,9
79,2017-05-15 16:58:49,2017-05-15 00:00:00,13
80,2017-05-15 16:28:24,2017-05-15 00:00:00,9
81,2017-05-06 11:48:53,2017-05-06 00:00:00,4
82,2017-05-28 02:08:13,2017-05-28 00:00:00,1
83,2017-06-01 10:52:29,2017-06-01 00:00:00,1
84,2017-06-04 20:44:34,2017-06-04 00:00:00,10
85,2017-06-02 08:48:11,2017-06-02 00:00:00,5
86,2017-05-23 20:15:27,2017-05-23 00:00:00,5
87,2017-05-26 14:36:30,2017-05-26 00:00:00,13
88,2017-05-18 11:18:16,2017-05-18 00:00:00,9
89,2017-05-17 23:58:42,2017-05-17 00:00:00,12
90,2017-06-12 13:49:41,2017-06-12 00:00:00,10
91,2017-06-14 23:41:17,2017-06-14 00:00:00,4
92,2017-05-05 11:25:20,2017-05-05 00:00:00,10
93,2017-05-16 16:41:51,2017-05-16 00:00:00,5
94,2017-05-22 12:58:59,2017-05-22 00:00:00,5
95,2017-06-06 11:38:15,2017-06-06 00:00:00,4
96,2017-05-29 20:15:29,2017-05-29 00:00:00,9
97,2017-06-12 10:26:36,2017-06-12 00:00:00,1
98,2017-05-14 09:13:09,2017-05-14 00:00:00,6
99,2017-05-07 10:19:33,2017-05-07 00:00:00,13
100,2017-05-05 22:34:48,2017-05-05 00:00:00,7
101,2017-05-10 14:39:56,2017-05-10 00:00:00,6
102,2017-05-18 20:51:06,2017-05-18 00:00:00,1
103,2017-06-06 23:08:04,2017-06-06 00:00:00,9
104,2017-06-08 18:26:09,2017-06-08 00:00:00,6
105,2017-05-23 19:52:27,2017-05-23 00:00:00,8
106,2017-05-15 20:46:00,2017-05-15 00:00:00,14
107,2017-06-02 12:57:15,2017-06-02 00:00:00,11
108,2017-05-15 17:58:25,2017-05-15 00:00:00,6
