,date,VIX.Open,VIX.High,VIX.Low,VIX.Close,VIX.Volume,VIX.Adjusted,year,month,monthf,weekday,weekdayf,week
0,2007-01-03,12.16,12.75,11.53,12.04,0,12.04,2007,1,Jan,3,Wed,1
1,2007-01-04,12.4,12.42,11.28,11.51,0,11.51,2007,1,Jan,4,Thu,1
2,2007-01-05,11.84,12.25,11.68,12.14,0,12.14,2007,1,Jan,5,Fri,1
3,2007-01-08,12.48,12.83,11.78,12.0,0,12.0,2007,1,Jan,1,Mon,2
4,2007-01-09,11.86,12.47,11.69,11.91,0,11.91,2007,1,Jan,2,Tue,2
5,2007-01-10,12.34,12.5,11.43,11.47,0,11.47,2007,1,Jan,3,Wed,2
6,2007-01-11,11.42,11.48,10.5,10.87,0,10.87,2007,1,Jan,4,Thu,2
7,2007-01-12,10.93,10.93,10.14,10.15,0,10.15,2007,1,Jan,5,Fri,2
8,2007-01-16,10.64,10.89,10.4,10.74,0,10.74,2007,1,Jan,2,Tue,3
9,2007-01-17,10.9,10.9,10.35,10.59,0,10.59,2007,1,Jan,3,Wed,3
10,2007-01-18,10.65,11.04,10.45,10.85,0,10.85,2007,1,Jan,4,Thu,3
11,2007-01-19,10.8,11.03,10.24,10.4,0,10.4,2007,1,Jan,5,Fri,3
12,2007-01-22,10.77,11.08,10.62,10.77,0,10.77,2007,1,Jan,1,Mon,4
13,2007-01-23,10.77,10.94,10.22,10.34,0,10.34,2007,1,Jan,2,Tue,4
14,2007-01-24,10.41,10.41,9.87,9.89,0,9.89,2007,1,Jan,3,Wed,4
15,2007-01-25,9.99,11.38,9.95,11.22,0,11.22,2007,1,Jan,4,Thu,4
16,2007-01-26,10.95,11.6,10.92,11.13,0,11.13,2007,1,Jan,5,Fri,4
17,2007-01-29,11.5,11.6,10.92,11.45,0,11.45,2007,1,Jan,1,Mon,5
18,2007-01-30,11.28,11.49,10.95,10.96,0,10.96,2007,1,Jan,2,Tue,5
19,2007-01-31,11.09,11.26,10.27,10.42,0,10.42,2007,1,Jan,3,Wed,5
20,2007-02-01,10.32,10.43,10.14,10.31,0,10.31,2007,2,Feb,4,Thu,5
21,2007-02-02,10.3,10.36,9.96,10.08,0,10.08,2007,2,Feb,5,Fri,5
22,2007-02-05,10.53,10.7,10.44,10.55,0,10.55,2007,2,Feb,1,Mon,6
23,2007-02-06,10.55,10.88,10.44,10.65,0,10.65,2007,2,Feb,2,Tue,6
24,2007-02-07,10.31,10.56,10.24,10.32,0,10.32,2007,2,Feb,3,Wed,6
25,2007-02-08,10.49,10.91,10.4,10.44,0,10.44,2007,2,Feb,4,Thu,6
26,2007-02-09,10.42,11.56,10.25,11.1,0,11.1,2007,2,Feb,5,Fri,6
27,2007-02-12,11.33,11.88,11.3,11.61,0,11.61,2007,2,Feb,1,Mon,7
28,2007-02-13,11.42,11.42,10.33,10.34,0,10.34,2007,2,Feb,2,Tue,7
29,2007-02-14,10.19,10.26,9.7,10.23,0,10.23,2007,2,Feb,3,Wed,7
30,2007-02-15,10.28,10.32,10.05,10.22,0,10.22,2007,2,Feb,4,Thu,7
31,2007-02-16,10.42,10.44,9.98,10.02,0,10.02,2007,2,Feb,5,Fri,7
32,2007-02-20,10.62,10.72,10.14,10.24,0,10.24,2007,2,Feb,2,Tue,8
33,2007-02-21,10.48,10.53,10.17,10.2,0,10.2,2007,2,Feb,3,Wed,8
34,2007-02-22,10.23,10.52,10.01,10.18,0,10.18,2007,2,Feb,4,Thu,8
35,2007-02-23,10.41,10.7,10.36,10.58,0,10.58,2007,2,Feb,5,Fri,8
36,2007-02-26,10.59,11.44,10.52,11.15,0,11.15,2007,2,Feb,1,Mon,9
37,2007-02-27,12.12,19.01,12.1,18.309998999999998,0,18.309998999999998,2007,2,Feb,2,Tue,9
38,2007-02-28,17.209999,17.290001,14.5,15.42,0,15.42,2007,2,Feb,3,Wed,9
39,2007-03-01,17.76,19.4,15.36,15.82,0,15.82,2007,3,Mar,4,Thu,9
40,2007-03-02,16.700001,18.629998999999998,16.040001,18.610001,0,18.610001,2007,3,Mar,5,Fri,9
41,2007-03-05,20.4,20.41,18.129998999999998,19.629998999999998,0,19.629998999999998,2007,3,Mar,1,Mon,10
42,2007-03-06,18.309998999999998,18.34,15.76,15.96,0,15.96,2007,3,Mar,2,Tue,10
43,2007-03-07,16.25,16.27,14.52,15.24,0,15.24,2007,3,Mar,3,Wed,10
44,2007-03-08,14.34,14.7,13.48,14.29,0,14.29,2007,3,Mar,4,Thu,10
45,2007-03-09,13.7,14.62,13.67,14.09,0,14.09,2007,3,Mar,5,Fri,10
46,2007-03-12,14.96,14.96,13.76,13.99,0,13.99,2007,3,Mar,1,Mon,11
47,2007-03-13,14.87,18.42,14.6,18.129998999999998,0,18.129998999999998,2007,3,Mar,2,Tue,11
48,2007-03-14,17.629998999999998,21.25,16.75,17.27,0,17.27,2007,3,Mar,3,Wed,11
49,2007-03-15,16.91,16.91,15.27,16.43,0,16.43,2007,3,Mar,4,Thu,11
50,2007-03-16,15.38,17.709999,15.29,16.790001,0,16.790001,2007,3,Mar,5,Fri,11
51,2007-03-19,15.82,15.82,14.58,14.59,0,14.59,2007,3,Mar,1,Mon,12
